Date,CA,CAName,DailyPositive,CumulativePositive,CrudeRatePositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,TotalPillar1,TotalPillar2
20200306,S12000023,Orkney Islands,0,0,0,0,0,0,7,31.4324202963628,2,0,0,2,0
20200306,S12000026,Scottish Borders,0,0,0,0,0,0,44,38.0919400917669,5,0,0,5,0
20200306,S12000027,Shetland Islands,2,2,8.7260034904014,0,0,0,2,8.7260034904014,3,3,100,3,0
20200306,S12000028,South Ayrshire,0,0,0,0,0,0,21,18.6484326436373,0,0,0,0,0
20200306,S12000029,South Lanarkshire,1,1,0.311983277696316,0,0,0,102,31.8222943250242,16,1,6.25,16,0
20200306,S12000030,Stirling,0,0,0,0,0,0,46,48.8270884194884,6,0,0,6,0
20200306,S12000033,Aberdeen City,0,1,0.437311409454673,0,0,0,59,25.8013731578257,5,1,20,5,0
20200306,S12000034,Aberdeenshire,0,1,0.382833735308755,0,0,0,58,22.2043566479078,7,0,0,7,0
20200306,S12000035,Argyll & Bute,0,0,0,0,0,0,17,19.7973681145918,5,0,0,5,0
20200306,S12000036,City of Edinburgh,1,3,0.571504772064847,0,0,0,246,46.8633913093174,23,2,8.695652173913041,23,0
20200306,S12000038,Renfrewshire,0,0,0,0,0,0,66,36.8509212730318,18,0,0,18,0
20200306,S12000039,West Dunbartonshire,0,1,1.12447992803328,0,0,0,43,48.3526369054312,10,0,0,10,0
20200306,S12000040,West Lothian,0,0,0,0,0,0,58,31.6766794101584,6,0,0,6,0
20200306,S12000041,Angus,0,1,0.860585197934596,0,0,0,45,38.7263339070568,12,1,8.33333333333333,12,0
20200306,S12000042,Dundee City,0,0,0,0,0,0,39,26.1184034288776,8,0,0,8,0
20200306,S12000045,East Dunbartonshire,0,0,0,0,0,0,39,35.8983799705449,5,0,0,5,0
20200306,S12000047,Fife,0,2,0.535403560433677,0,0,0,112,29.9825993842859,13,1,7.69230769230769,13,0
20200306,S12000048,Perth & Kinross,0,0,0,0,0,0,62,40.8028956893715,20,0,0,20,0
20200306,S12000049,Glasgow City,0,0,0,0,0,0,293,46.2787465251453,52,0,0,52,0
20200306,S12000050,North Lanarkshire,0,1,0.292937282127896,0,0,0,93,27.2431672378944,13,0,0,13,0
20200307,S12000005,Clackmannanshire,0,2,3.88048117966628,0,0,0,33,64.0279394644936,14,1,7.14285714285714,14,0
20200307,S12000006,Dumfries & Galloway,0,0,0,0,0,0,94,63.1465806798334,7,0,0,7,0
20200307,S12000008,East Ayrshire,1,1,0.819604950413901,0,0,0,34,27.8665683140726,4,1,25,4,0
20200307,S12000010,East Lothian,0,0,0,0,0,0,42,39.2193482117845,4,0,0,4,0
20200307,S12000011,East Renfrewshire,0,1,1.04679158379567,0,0,0,42,43.965246519418,10,2,20,10,0
20200307,S12000013,Na h-Eileanan Siar,0,0,0,0,0,0,4,14.9700598802395,0,0,0,0,0
20200307,S12000014,Falkirk,0,1,0.62154266890422,0,0,0,83,51.5880415190503,13,1,7.69230769230769,13,0
20200307,S12000017,Highland,0,0,0,0,0,0,60,25.442055718102,6,0,0,6,0
